Titulo del comentario,Tipo de Habitacion,Fecha reserva,Fecha del comentario,Nombre ,Me gusto,No me gusto,Duracion estadia,Puntaje,Pais procedencia,Tipo viajero
It was a nice weekend getaway,Resort Twin Room - Inclusive of Return Ferry Transfers,diciembre de 2025,Fecha del comentario: 24 de enero de 2026,Alana,I liked the central accommodation areas,South side needs a revamp! And more activities to do whilst on the island,1 noche ·,"7,0",Australia,En grupo
Take the bad reviews with a pinch of salt - really enjoyed our stay!,Habitación Doble Resort con cama grande,enero de 2026,Fecha del comentario: 23 de enero de 2026,Amelia,"My partner and I nearly cancelled this trip following seeing the flurry of bad reviews. I am SO pleased we didn't. We had the best time and really enjoyed our stay (to the point we're a bit confused as to how they've had some poor reviews). The island is absolutely beautiful surrounded with breathtaking views at every turn. Great facilities, pools with a swim-up bar and a couple of restaurants. We had a really gorgeous meal at infinity and some lovely food at Salti too. Staff were so helpful and were always polite and kind (almost feel sad that they've received poor feedback - they couldn't do more to help us). We had a drink vouchers following a power cut post cyclone (it was literally a matter of minutes), drink & necklace on arrival. Lots to do in terms of activities, island tours & external tours - we rented jet skis and had a blast. Also booked tours with Whitsunday cruises at the tour desk. Lots of cool wildlife to see too on the rainforest walk and the living reef! Our room was clean, comfortable and big in size with a view of the living reef that we really enjoyed.",Behind the milk station at breakfast is a little bit mouldy. A little bit of love on renovating the corridors I think would go such a long way - you almost leave paradise when walking to your room which is a bit of shame.,4 noches ·,"9,0",Reino Unido,En pareja
Had a great time.,Resort Twin Room - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 23 de enero de 2026,Joanne,Very nice,,2 noches ·,"9,0",Australia,En familia
Fabulous stay at this hotel and definitely wouldn’t hesitate to visit again in the furry,Superior Ocean View King - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 21 de enero de 2026,Ryan,Beautiful resort on a stunning island surrounded by vibrant wildlife and scenery.  Amazing view from our sea view room,Rooms are missing minor luxury touches like dressing gowns.  Hotel catering options are perhaps missing add on extras such as a half board dining package and / or a drinks package,5 noches ·,"8,0",Reino Unido,En pareja
I really enjoyed the relaxed atmosphere but can you please bring up some more to do. Like mini golf and reopen some of t,Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 20 de enero de 2026,Ann-marie,Love that everything is within walking distance and calm,The south side needs to reopen. A clothing store and the bakery and restaurant at least somewhere to purchase drinks. I have been when it was really good and such a shame on the decline of activities no mini golf what happened used to be so much to do.,1 noche ·,"7,0",Australia,En pareja
"Fun, easy and relaxing",Habitación Resort con 2 camas individuales,enero de 2026,Fecha del comentario: 19 de enero de 2026,Jen,"Brekky included, pool bar, lots of pools, lots of activities on the island. Free snorkel hire, cute walking track, access to free paddle boards etc yoga & meditation classes",Didnt cater too much to dietaries/allergies for food - staff seemed a little confused about some. There were some basic options though. Everything shut at 8:30 meaning nothing to do in the evenings,4 noches ·,"7,0",Australia,En grupo
We thoroughly enjoyed our stay and look forward to returning soon.,Resort King Room - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 19 de enero de 2026,Carmel,Our room was excellent. Staff were friendly and attentive.,We had Lunch & Dinner at Salti Restaurant. Lunch was lovely however my dinner was unacceptable and it  was returned to the kitchen. I was extremely disappointed with my meal.,1 noche ·,"8,0",Australia,En pareja
Good for families and outstanding location but expensive food and apathetic staff.,Habitación Doble Superior con vistas a la piscina - 2 camas,enero de 2026,Fecha del comentario: 18 de enero de 2026,Amanda,"A beautiful island with amazing pools and activities to fill the holiday. The living reef is excellent, and the staff working with the reef and animals are fantastic and knowledgeable. A lovely place for families with little kids.","Staff are hit and miss; some are amazing, but more often, they just don't really care about the visitors. It took us a few days to realise that most groups are greeted off the boat with mimosas and necklaces; when we arrived the transit lounge was empty. This became a recurring theme where different staff, day to day, either did their job or just didn't care. The food options are very, very limited and overpriced. Additionally, we found that not all food options are advertised; the buffet runs at dinner time, but it was expensive. Definitely reserve a table at the Salti or Infinity restaurant or you'll be forced to pay top dollar for the buffet. Rooms were not super clean - given the price, I would have expected better.",5 noches ·,"7,0",Australia,En familia
"Great facilities and location, bargain price but needs a clean.",Alojamiento Superior con cama extragrande y vistas al océano,diciembre de 2025,Fecha del comentario: 17 de enero de 2026,Chris,"Location and facilities. Love all the nature, feeding cockatoos on the balcony, petting kangaroos and it has bar far the best marine life of any hotel I’ve ever stayed in.","It needs a lot of maintenance and a good clean. I would usually knock it down a few marks but the local, facilities and the low price easily made up for it…",4 noches ·,"8,0",Reino Unido,En pareja
It was good for a short stay with little ones,Habitación Doble Superior con vistas a la piscina - 2 camas,enero de 2026,Fecha del comentario: 15 de enero de 2026,Jacqueline,"Kids club option, variety of on island things to do","Better service by staff, some see fairly new. Some cocktails were not made properly or with all ingredients but still charged cocktail rates. 
Airconditioning in rooms had to stay on for the heat but got quiet moist after a couple days - the floor was slippery",3 noches ·,"7,0",Australia,En familia
Decent enough,Habitación Superior con vistas a la piscina - Cama extragrande,diciembre de 2025,Fecha del comentario: 13 de enero de 2026,Nathan,Location was great,Food to expensive. Not enough options. Derelict buildings on other side of island,3 noches ·,"8,0",Australia,En pareja
The Living Reef experience at the hotel compansates for the low level of other services at the hotel,Habitación Resort con 2 camas individuales,enero de 2026,Fecha del comentario: 13 de enero de 2026,Dimitra,"The unique characteristic of this hotel is the Living Reef which offers several activities for kids and adults to get acquainted with the sea life at the Great Barrier Reef, which are not offered in any other facility on the wider area. The staff of the Living Reef Experience Center is well trained, friendly and professional. Especially snorkelling in the coral lagoon that is located around the central building of the resort was an amazing experience.","The standard of cleanliness in both the guest rooms and the breakfast areas was insufficient. During our five-night stay, the housekeeping service was limited only to making the beds and replacing the towels. Furthermore, in the breakfast area, we noticed on several occasions that the crockery and silverware had not been properly washed.

Due to the schedule of the ferry transportation, it is not possible to schedule dinner anywhere else but the restaurants at the hotel. Access to other areas in the Whitsundays depends highly on the ferry transportation schedule, and is also quite costly. There are three dining options at the hotel which are expensive and the service level is not sufficient. Breakfast at the hotel offers several buffet options but it is not very tasty.

It was evident that the hotel is primarily staffed by young individuals with minimal professional experience. The constant daily rotation of personnel between various positions prevents them from gaining sufficient expertise in any specific area, leading to inadequate service across the board.",5 noches ·,"7,0",Grecia,En familia
You get what you pay for,Vista King Suite - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 12 de enero de 2026,John,"We got the Vista suite, their most expensive room, and for the price and compared to what yould get for that price in the other whitsundays islands with hotels, i think daydream offers a lot of value for the money you pay, at least in terms of the room WE got, the vista suite was excellent, newly renovated, beautiful views, almost perfect besides their inexplicably being no minibar or even 1 bottle of water in a huge appartment room which had a fully kitted out kitchen (were are you meant to buy the food to cook there though?? Youll be hard pressed in daydream island to even find a can of pringles and a coke zero)
The aquarium at the property is very impressive and well maintained, specially the underwater coral reef viewing room which just seems like they spent half the budget for the entire island on building, the result is a very impressive, if somewhat out of place, experience.","The saying is you get what you paid for, and with daydream that is certainly true, its a ""cheap"" whitsundays island, and as a result, the property feels run down in places (however I have to say their lobby area beats the much more expensive lobby at Hayman Island), the main issue during our stay was food, the restaurant food (we went to infinity) is just, not good, at all, it was so bad in fact that we opted just not to eat at all except for pringles and kitkats on our second night (we had to stay a 2nd night due to a cyclone cancelling all ferries, I have to say, daydream acted very well by offering us a 50% discount for the extra night) 

If they improved their food offerings and had a 24 hour shop to get basic snacks and drinks I think this place would be rated much much higher, however as It stands i can only recommend it for a 1 night stay.",1 noche ·,"8,0",Reino Unido,En pareja
